,Best/Average,Metric,ModelNumber,Precision,F-stat,Recall
0,Average,rouge-1,1,19.85090863,21.0243755,26.88894329
1,Average,rouge-2,1,6.930425143,7.593070397,10.11083014
2,Average,rouge-l,1,17.62502977,18.71116504,22.93088426
0,Average,rouge-1,3,16.73323729,24.00604749,48.81684305
1,Average,rouge-2,3,6.72748744,9.848898597,21.00136324
2,Average,rouge-l,3,16.76869173,23.35227489,42.19895935
0,Average,rouge-1,5,14.29889189,22.71408258,60.60381363
1,Average,rouge-2,5,6.591465448,10.56780324,29.00691041
2,Average,rouge-l,5,15.38713479,23.52433955,53.30282627
0,Average,rouge-1,7,12.78207841,21.1972976,66.58444389
1,Average,rouge-2,7,6.262445784,10.42539166,33.22737155
2,Average,rouge-l,7,14.20271475,22.68270457,59.13262709
0,Average,rouge-1,9,11.74473385,19.86244926,68.55358751
1,Average,rouge-2,9,5.861658205,9.936855078,34.63482732
2,Average,rouge-l,9,13.20124875,21.54904043,61.11157243
